Date,Inflation
2005-12-01,196.8
2005-11-01,197.6
2005-10-01,199.2
2005-09-01,198.8
2005-08-01,196.4
2005-07-01,195.4
2005-06-01,194.5
2005-05-01,194.4
2005-04-01,194.6
2005-03-01,193.3
2005-02-01,191.8
2005-01-01,190.7
2004-12-01,190.3
2004-11-01,191.0
2004-10-01,190.9
2004-09-01,189.9
2004-08-01,189.5
2004-07-01,189.4
2004-06-01,189.7
2004-05-01,189.1
2004-04-01,188.0
2004-03-01,187.4
2004-02-01,186.2
2004-01-01,185.2
2003-12-01,184.3
2003-11-01,184.5
2003-10-01,185.0
2003-09-01,185.2
2003-08-01,184.6
2003-07-01,183.9
2003-06-01,183.7
2003-05-01,183.5
2003-04-01,183.8
2003-03-01,184.2
2003-02-01,183.1
2003-01-01,181.7
2002-12-01,180.9
2002-11-01,181.3
2002-10-01,181.3
2002-09-01,181.0
2002-08-01,180.7
2002-07-01,180.1
2002-06-01,179.9
2002-05-01,179.8
2002-04-01,179.8
2002-03-01,178.8
2002-02-01,177.8
2002-01-01,177.1
2001-12-01,176.7
2001-11-01,177.4
2001-10-01,177.7
2001-09-01,178.3
2001-08-01,177.5
2001-07-01,177.5
2001-06-01,178.0
2001-05-01,177.7
2001-04-01,176.9
2001-03-01,176.2
2001-02-01,175.8
2001-01-01,175.1
2000-12-01,174.0
2000-11-01,174.1
2000-10-01,174.0
2000-09-01,173.7
2000-08-01,172.8
2000-07-01,172.8
2000-06-01,172.4
2000-05-01,171.5
2000-04-01,171.3
2000-03-01,171.2
2000-02-01,169.8
2000-01-01,168.8
1999-12-01,168.3
1999-11-01,168.3
1999-10-01,168.2
1999-09-01,167.9
1999-08-01,167.1
1999-07-01,166.7
1999-06-01,166.2
1999-05-01,166.2
1999-04-01,166.2
1999-03-01,165.0
1999-02-01,164.5
1999-01-01,164.3
1998-12-01,163.9
1998-11-01,164.0
1998-10-01,164.0
1998-09-01,163.6
1998-08-01,163.4
1998-07-01,163.2
1998-06-01,163.0
1998-05-01,162.8
1998-04-01,162.5
1998-03-01,162.2
1998-02-01,161.9
1998-01-01,161.6
1997-12-01,161.3
1997-11-01,161.5
1997-10-01,161.6
1997-09-01,161.2
1997-08-01,160.8
1997-07-01,160.5
1997-06-01,160.3
1997-05-01,160.1
1997-04-01,160.2
1997-03-01,160.0
1997-02-01,159.6
1997-01-01,159.1
1996-12-01,158.6
1996-11-01,158.6
1996-10-01,158.3
1996-09-01,157.8
1996-08-01,157.3
1996-07-01,157.0
1996-06-01,156.7
1996-05-01,156.6
1996-04-01,156.3
1996-03-01,155.7
1996-02-01,154.9
1996-01-01,154.4
